Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
ANGRA DOS REIS;2021;Educação;6º Bimestre;21.69;22.02;212341599.79
APERIBE;2021;Educação;6º Bimestre;28.35;23.81;9441542.59
ARARUAMA;2021;Educação;6º Bimestre;34.08;32.79;80456651.98
AREAL;2021;Educação;6º Bimestre;21.51;22.74;11949463.86
ARMACAO DOS BUZIOS;2021;Educação;6º Bimestre;27.01;24.39;41263002.85
ARRAIAL DO CABO;2021;Educação;6º Bimestre;27.61;27.53;28918011.88
BARRA DO PIRAI;2021;Educação;6º Bimestre;34.24;32.96;44075135.84
BARRA MANSA;2021;Educação;6º Bimestre;27.43;23.3;63184370.26
BELFORD ROXO;2021;Educação;6º Bimestre;26.78;25.37;93601373.07
BOM JARDIM;2021;Educação;6º Bimestre;29.15;28.85;19980647.03
BOM JESUS DO ITABAPOANA;2021;Educação;6º Bimestre;28.64;27.7;20934376.22
CABO FRIO;2021;Educação;6º Bimestre;23.85;24.8;106177951.01
CACHOEIRAS DE MACACU;2021;Educação;6º Bimestre;35.81;34.91;40322973.76
CAMBUCI;2021;Educação;6º Bimestre;29.32;25.33;12351471.96
CAMPOS DOS GOYTACAZES;2021;Educação;6º Bimestre;17.07;16.64;139846740.18
CANTAGALO;2021;Educação;6º Bimestre;25.84;25.67;18884284.74
CARAPEBUS;2021;Educação;6º Bimestre;32.38;26.7;17765309.97
CARDOSO MOREIRA;2021;Educação;6º Bimestre;27.4;27.43;12942699.86
CARMO;2021;Educação;6º Bimestre;24.01;23.56;14642801.7
CASIMIRO DE ABREU;2021;Educação;6º Bimestre;33.8;45.09;45062364.13
COMENDADOR LEVY GASPARIAN;2021;Educação;6º Bimestre;27.73;28.43;12093828.39
CONCEICAO DE MACABU;2021;Educação;6º Bimestre;27.86;26.87;15463879.87
CORDEIRO;2021;Educação;6º Bimestre;28.59;31.88;18292250.68
DUAS BARRAS;2021;Educação;6º Bimestre;29.9;28.97;13220383.76
DUQUE DE CAXIAS;2021;Educação;6º Bimestre;27.25;26.55;542582671.71
ENGENHEIRO PAULO DE FRONTIN;2021;Educação;6º Bimestre;32.24;30.67;14843292.5
GUAPIMIRIM;2021;Educação;6º Bimestre;23.78;-25.47;27253945.44
IGUABA GRANDE;2021;Educação;6º Bimestre;25.01;22.06;16375610.51
ITABORAI;2021;Educação;6º Bimestre;22.65;23.18;71965613.86
ITAGUAI;2021;Educação;6º Bimestre;19.02;-20.91;89272134.91
ITALVA;2021;Educação;6º Bimestre;26.0;25.82;12003556.5
ITAOCARA;2021;Educação;6º Bimestre;29.56;24.88;13730555.67
ITAPERUNA;2021;Educação;6º Bimestre;28.23;26.0;48103143.13
ITATIAIA;2021;Educação;6º Bimestre;24.7;25.02;58935845.92
JAPERI;2021;Educação;6º Bimestre;33.74;-29.34;34205917.76
LAJE DO MURIAE;2021;Educação;6º Bimestre;23.52;31.17;10425599.96
MACAE;2021;Educação;6º Bimestre;22.71;22.45;308423712.21
MACUCO;2021;Educação;6º Bimestre;28.4;28.23;10894293.09
MAGE;2021;Educação;6º Bimestre;30.79;15.44;32567957.41
MANGARATIBA;2021;Educação;6º Bimestre;29.3;24.1;58770385.26
MARICA;2021;Educação;6º Bimestre;26.85;26.78;270066929.23
MENDES;2021;Educação;6º Bimestre;31.76;-29.96;15601134.23
MESQUITA;2021;Educação;6º Bimestre;28.84;-25.91;47710901.02
MIGUEL PEREIRA;2021;Educação;6º Bimestre;31.15;29.81;24662479.03
MIRACEMA;2021;Educação;6º Bi;26.5;25.95;17079260.66
NATIVIDADE;2021;Educação;6º Bi;33.77;34.41;16803938.54
NILOPOLIS;2021;Educação;6º Bi;26.78;25.72;50554997.97
NITEROI;2021;Educação;6º Bi;26.8;26.5;532838891.71
NOVA FRIBURGO;2021;Educação;6º Bi;30.84;28.95;100031902.5
NOVA IGUACU;2021;Educação;6º Bi;25.16;-23.3;157535699.12
PARACAMBI;2021;Educação;6º Bi;30.04;26.37;24053590.47
PARAIBA DO SUL;2021;Educação;6º Bi;27.71;29.92;28570966.93
PARATY  ;2021;Educação;6º Bi;27.11;24.83;40593467.75
PATY DO ALFERES;2021;EDUCAÇÃO;6º Bi;28.24;27.9;20259811.61
PETROPOLIS;2021;Educação;6º Bi;19.91;18.48;134852843.0
PINHEIRAL;2021;Educação;6º Bi;24.5;22.62;13078871.87
PIRAI;2021;Educação;6º Bi;-28.28;26.98;42557719.1
PORCIUNCULA;2021;Educação;6º Bi;-26.6;25.54;13139209.26
PORTO REAL;2021;Educação;6º Bi;29.3;26.13;40580777.49
QUATIS;2021;Educação;6º Bi;107.96;31.14;14355175.29
QUEIMADOS;2021;Educação;6º Bi;26.82;26.99;53766648.45
QUISSAMA;2021;EDUCAÇÃO;6º Bi;37.94;34.74;51907392.98
RESENDE  ;2021;Educação;6º Bi;27.02;28.1;137668701.05
RIO BONITO;2021;Educação;6º Bi;37.39;30.38;35711093.07
RIO CLARO;2021;Educação;6º Bi;26.68;22.31;17205970.1
RIO DAS FLORES;2021;Educação;6º Bi;36.22;35.57;14618817.38
RIO DAS OSTRAS;2021;Educação;6º Bi;17.62;18.81;75133693.37
SANTA MARIA MADALENA;2021;Edu;6º Bi;31.09;30.33;17885697.71
SANTO ANTONIO DE PADUA;2021;Edu;6º Bi;28.21;25.47;23213765.21
SAO FIDELIS;2021;Educação;6º Bi;25.69;25.11;19594679.82
SAO FRANCISCO DE ITABAPOANA;2021;Educação;6º Bi;27.28;28.33;26029723.58
SAO GONCALO;2021;Educação;6º Bi;30.72;25.88;166903576.45
SAO JOAO DA BARRA;2021;Educação;6º Bi;23.32;23.46;66691361.01
SAO JOAO DE MERITI;2021;Educação;6º Bimestre;13.7;10.76;38335782.17
SAO JOSE DE UBA;2021;Educação;6º Bimestre;26.38;26.18;9690837.94
SAO JOSE DO VALE DO RIO PRETO;2021;Educação;6º Bimestre;27.3;33.89;17065695.72
SAO PEDRO DA ALDEIA;2021;Educação;6º Bimestre;22.72;22.37;35950764.96
SAO SEBASTIAO DO ALTO;2021;Educação;6º Bimestre;28.82;25.67;11732775.92
SAPUCAIA;2021;Educação;6º Bimestre;25.22;24.5;18220025.88
SAQUAREMA;2021;Educação;6º Bimestre;36.22;34.67;90950315.07
SEROPEDICA;2021;Educação;6º Bimestre;39.96;39.64;86631579.93
SILVA JARDIM;2021;Edu;6º Bimestre;21.07;20.7;17237772.13
SUMIDOURO;2021;Edu;6º Bimestre;24.86;25.0;14074786.24
TANGUA;2021;Edu;6º Bimestre;19.31;18.5;12056000.22
TERESOPOLIS;2021;Edu;6º Bimestre;30.53;17.77;63232649.24
TRAJANO DE MORAIS;2021;Edu;6º Bimestre;29.16;31.25;15600847.55
TRES RIOS;2021;Edu;6º Bimestre;25.86;24.77;47261103.99
VALENCA;2021;Edu;6º Bimestre;22.16;22.15;28657787.75
VARRE-SAI;2021;Edu;6º Bimestre;29.05;28.55;11114560.11
VASSOURAS;2021;Edu;6º Bimestre;27.69;26.1;22463104.03
VOLTA REDONDA;2021;Edu;6º Bimestre;4.68;12.14;77987479.18
ANGRA DOS REIS;2022;Edu;6º Bimestre;26.44;26.54;348104569.28
APERIBE;2022;Edu;6º Bimestre;30.32;28.36;12129882.09
ARARUAMA;2022;Edu;6º Bimestre;28.44;28.01;75635633.87
AREAL;2022;Edu;6º Bimestre;30.94;30.59;17737709.76
ARMACAO DOS BUZIOS;2022;Edu;6º Bimestre;30.95;30.57;59297156.33
ARRAIAL DO CABO;2022;Edu;6º Bimestre;33.39;35.05;43701569.67
BARRA DO PIRAI;2022;Edu;6º Bimestre;29.57;;
BARRA MANSA;2022;Edu;6º Bimestre;27.12;26.54;-81358274.02
BELFORD ROXO;2022;Edu;6º Bimestre;49.35;;
BOM JARDIM;2022;Edu;6º Bimestre;32.53;32.36;24807713.55
